subDomainId,subDomainName,parentId
0,Action,0
1,Adventure,0
2,Animation,0
3,Comedy,0
4,Crime,0
5,Drama,0
6,Fantasy,0
7,Historical,0
8,Horror,0
9,Mystery,0
10,Philiosophical,0
11,Political,0
12,Romance,0
13,Saga,0
14,Satire,0
15,Science fiction,0
16,Social,0
17,Speculative,0
18,Thriller,0
19,Urban,0
20,Western,0
21,Buffet Restaurant ,1
22,Casual Dining Restaurant ,1
23,Family Style Restaurant ,1
24,Fast Casual Restaurant ,1
25,Fine Dining Restaurant ,1
26,Pop-up Restaurant ,1
27,Bar and Pub,1
28,Lounge,1
29,Quick Bites,1
30,Cafe,1
31,Dessert,1
32,Take Away Restaurant,1
